CSAFP,CBSAFP,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,id,tile_name,h_min,h_max,v_min,v_max,msa_area (m2)
,15060,310M200US15060,15060,"Brookings, OR",M2,4215134990,934685387,136,h001v005;h002v005,1,2,5,5,4235344200.0
446,39420,310M200US39420,39420,"Pullman, WA",M2,5591999422,47939386,137,h005v003;h006v002;h006v003,5,6,2,3,5639946300.0
500,43220,310M200US43220,43220,"Shelton, WA",M2,2484997453,237129431,138,h003v001;h003v002,3,3,1,2,2594844000.0
,33540,310M200US33540,33540,"Missoula, MT",M1,6715988454,64467912,139,h007v003;h008v003,7,8,3,3,6780767400.0
500,34580,310M200US34580,34580,"Mount Vernon-Anacortes, WA",M1,4483833372,489315214,140,h003v001;h004v001,3,4,1,1,4560516900.0
,20540,310M200US20540,20540,"Dyersburg, TN",M2,1326922856,36778051,141,h020v012;h021v012,20,21,12,12,1363565700.0
,23460,310M200US23460,23460,"Gadsden, AL",M1,1386379576,34562865,142,h022v013;h023v013,22,23,13,13,1421155800.0
396,23860,310M200US23860,23860,"Georgetown, SC",M2,2107094125,572624603,143,h027v013,27,27,13,13,2257672500.0
,37300,310M200US37300,37300,"Palestine, TX",M2,2752130046,39879877,144,h017v015,17,17,15,15,2792058300.0
,42020,310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",M1,8548549787,815580311,145,h002v010;h002v011;h003v011,2,3,10,11,8608451400.0
408,45940,310M200US45940,45940,"Trenton, NJ",M1,581629671,11189320,146,h028v007;h028v008;h029v007;h029v008,28,29,7,8,592809300.0
430,38300,310M200US38300,38300,"Pittsburgh, PA",M1,13678958451,157924987,148,h025v007;h025v008;h026v007;h026v008,25,26,7,8,13837027500.0
,40220,310M200US40220,40220,"Roanoke, VA",M1,4839992437,72598010,149,h026v010;h026v011,26,26,10,11,4912743600.0
548,47900,310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",M1,16178106918,1124017724,150,h027v008;h027v009;h028v009,27,28,8,9,16585954200.0
268,49180,310M200US49180,49180,"Winston-Salem, NC",M1,5201851143,80932198,151,h026v011;h026v012,26,26,11,12,5282951400.0
,13900,310M200US13900,13900,"Bismarck, ND",M1,13922499393,252946938,152,h013v004;h014v004;h014v005;h015v004,13,15,4,5,14175503100.0
,29100,310M200US29100,29100,"La Crosse-Onalaska, WI-MN",M1,2599849332,116616524,153,h019v006,19,19,6,6,2716552800.0
,17780,310M200US17780,17780,"College Station-Bryan, TX",M1,5439680731,85824949,154,h016v015;h016v016;h017v016,16,17,15,16,5525687700.0
,12900,310M200US12900,12900,"Batesville, AR",M2,1978630975,19594198,155,h019v012,19,19,12,12,1998424800.0
,41700,310M200US41700,41700,"San Antonio-New Braunfels, TX",M1,18939886213,150518692,156,h014v016;h014v017;h015v016;h015v017;h016v017,14,16,16,17,19090391400.0
400,34980,310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",M1,16321410263,197967875,157,h022v011;h022v012;h023v011;h023v012,22,23,11,12,16518924000.0
472,40900,310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA",M1,13195191548,548573735,158,h002v008;h003v008,2,3,8,8,13743513000.0
496,25980,310M200US25980,25980,"Hinesville, GA",M1,2374380758,232029278,159,h025v014;h025v015;h026v014;h026v015,25,26,14,15,2448355500.0
,10780,310M200US10780,10780,"Alexandria, LA",M1,5079062315,169057160,160,h019v015;h019v016,19,19,15,16,5247899100.0
,48820,310M200US48820,48820,"Willmar, MN",M2,2064994134,168490993,161,h017v005,17,17,5,5,2233351800.0
,14720,310M200US14720,14720,"Breckenridge, CO",M2,1575579877,28287709,162,h011v009,11,11,9,9,1603952100.0
340,38220,310M200US38220,38220,"Pine Bluff, AR",M1,5257911386,141461901,163,h019v013;h019v014,19,19,13,14,5399642700.0
,18460,310M200US18460,18460,"Cornelia, GA",M2,716754762,5917259,165,h024v012;h024v013,24,24,12,13,722656800.0
440,41420,310M200US41420,41420,"Salem, OR",M1,4977573456,34719240,166,h002v003;h003v003;h003v004,2,3,3,4,5013366300.0
304,28700,310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA",M1,5205840458,96136681,167,h024v011;h025v011,24,25,11,11,5302085400.0
406,25220,310M200US25220,25220,"Hammond, LA",M1,2049504791,136674364,168,h020v016,20,20,16,16,2185916400.0
,31940,310M200US31940,31940,"Marinette, WI-MI",M2,6328367306,1151919359,169,h021v004;h021v005,21,21,4,5,6429903300.0
,13140,310M200US13140,13140,"Beaumont-Port Arthur, TX",M1,7858904931,764353319,170,h017v016;h018v016;h018v017,17,18,16,17,8293518900.0
292,26820,310M200US26820,26820,"Idaho Falls, ID",M1,13457009784,126025981,171,h007v005;h007v006;h008v005;h008v006;h009v006,7,9,5,6,13583160900.0
533,45220,310M200US45220,45220,"Tallahassee, FL",M1,6184050070,556601745,172,h024v015;h024v016,24,24,15,16,6406857000.0
,18880,310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL",M1,5097057920,916046870,173,h022v015;h022v016;h023v015;h023v016,22,23,15,16,5549436900.0
,15540,310M200US15540,15540,"Burlington-South Burlington, VT",M1,3243268574,657471312,175,h028v004;h029v004,28,29,4,4,3900217500.0
276,25420,310M200US25420,25420,"Harrisburg-Carlisle, PA",M1,4200960995,108892326,176,h027v007;h027v008,27,27,7,8,4309981200.0
440,38900,310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA",M1,17311313130,356212910,177,h002v003;h003v002;h003v003;h003v004;h004v002;h004v003,2,4,2,4,17666649000.0
,41540,310M200US41540,41540,"Salisbury, MD-DE",M1,5435122260,2080604052,178,h028v009;h029v009,28,29,9,9,5946982200.0
336,30460,310M200US30460,30460,"Lexington-Fayette, KY",M1,3803528175,40707477,179,h023v010;h024v010,23,24,10,10,3844149300.0
,30860,310M200US30860,30860,"Logan, UT-ID",M1,4735323632,33319030,180,h008v006;h008v007,8,8,6,7,4768650900.0
476,41180,310M200US41180,41180,"St. Louis, MO-IL",M1,20366579725,565384553,181,h019v009;h019v010;h020v009;h020v010;h021v010,19,21,9,10,20932097400.0
450,39580,310M200US39580,39580,"Raleigh, NC",M1,5485858939,75685838,182,h027v011;h027v012,27,27,11,12,5561550900.0
147,14260,310M200US14260,14260,"Boise City, ID",M1,30472933785,175397532,183,h005v005;h005v006;h006v005;h006v006;h007v005,5,7,5,6,30648872700.0
,11660,310M200US11660,11660,"Arkadelphia, AR",M2,2243121980,43395986,184,h018v013;h018v014;h019v013;h019v014,18,19,13,14,2286652500.0
532,45060,310M200US45060,45060,"Syracuse, NY",M1,6176907940,1020646108,185,h027v005;h027v006;h028v006,27,28,5,6,6437037600.0
292,39940,310M200US39940,39940,"Rexburg, ID",M2,6042413803,93681273,186,h008v005;h008v006;h009v005,8,9,5,6,6135180300.0
,46220,310M200US46220,46220,"Tuscaloosa, AL",M1,7373818335,131651808,187,h021v014;h022v014,21,22,14,14,7504195500.0
206,19100,310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX",M1,24035191870,922063119,188,h015v014;h015v015;h016v014;h016v015;h017v014;h017v015,15,17,14,15,24957290700.0
220,19820,310M200US19820,19820,"Detroit-Warren-Dearborn, MI",M1,10072892006,897203024,189,h023v006;h023v007;h024v006;h024v007,23,24,6,7,10415557800.0
192,17900,310M200US17900,17900,"Columbia, SC",M1,9590686398,339384218,190,h025v012;h025v013;h026v012;h026v013,25,26,12,13,9929838600.0
,46300,310M200US46300,46300,"Twin Falls, ID",M2,6522650504,31249801,191,h006v006;h006v007;h007v006;h007v007,6,7,6,7,6552983700.0
,42200,310M200US42200,42200,"Santa Maria-Santa Barbara, CA",M1,7083927512,2729816973,192,h002v011;h002v012;h003v011;h003v012,2,3,11,12,7126481700.0
400,43180,310M200US43180,43180,"Shelbyville, TN",M2,1226717421,2983130,193,h022v012,22,22,12,12,1229641200.0
209,19340,310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL",M1,5878613363,114201813,194,h019v008;h020v008,19,20,8,8,5992558200.0
,24220,310M200US24220,24220,"Grand Forks, ND-MN",M1,8825308924,77226578,195,h016v003;h017v003,16,17,3,3,8902447200.0
194,17980,310M200US17980,17980,"Columbus, GA-AL",M1,5014777653,61081469,196,h023v014;h023v015;h024v014,23,24,14,15,5075423100.0
348,31080,310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA",M1,12558589615,2202092049,197,h003v011;h003v012;h003v013;h004v011;h004v012,3,4,11,13,12690846000.0
,38060,310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ",M1,37723752759,86675785,198,h006v013;h006v014;h007v013;h007v014;h008v013;h008v014,6,8,13,14,37810187100.0
,24900,310M200US24900,24900,"Greenwood, MS",M2,3163934365,50147243,199,h020v014;h021v014,20,21,14,14,3214201500.0
430,26860,310M200US26860,26860,"Indiana, PA",M2,2141999553,18812180,200,h026v007;h026v008,26,26,7,8,2161007100.0
346,32220,310M200US32220,32220,"Marshall, TX",M2,2330820875,40969486,201,h017v014;h017v015;h018v014;h018v015,17,18,14,15,2371826700.0
538,46140,310M200US46140,46140,"Tulsa, OK",M1,16237998497,493550071,202,h016v011;h016v012;h017v011;h017v012,16,17,11,12,16731081900.0
,18260,310M200US18260,18260,"Cookeville, TN",M2,2960919890,35497828,203,h023v011;h023v012,23,23,11,12,2996404200.0
356,31420,310M200US31420,31420,"Macon, GA",M1,4461725312,38847900,204,h024v014;h025v014,24,25,14,14,4500562500.0
288,14780,310M200US14780,14780,"Brenham, TX",M2,1564237466,46089329,205,h016v016;h017v016,16,17,16,16,1610298900.0
